Susceptible, Exposed, Infectious, Recovered, Scenario
14, 10, 3, 0,base
13, 11, 3, 0,base
15, 9, 3, 0,base
12, 12, 3, 0,base
15, 9, 3, 0,base
18, 6, 3, 0,base
15, 9, 3, 0,base
7, 17, 3, 0,base
17, 7, 3, 0,base
13, 11, 3, 0,base
18, 6, 3, 0,base
13, 11, 3, 0,base
14, 10, 3, 0,base
18, 6, 3, 0,base
14, 10, 3, 0,base
17, 7, 3, 0,base
17, 7, 3, 0,base
15, 9, 3, 0,base
14, 10, 3, 0,base
16, 8, 3, 0,base
12, 12, 3, 0,base
16, 8, 3, 0,base
14, 10, 3, 0,base
15, 9, 3, 0,base
17, 7, 3, 0,base
14, 10, 3, 0,base
14, 10, 3, 0,base
17, 7, 3, 0,base
13, 11, 3, 0,base
13, 11, 3, 0,base
12, 12, 3, 0,base
13, 11, 3, 0,base
15, 9, 3, 0,base
14, 10, 3, 0,base
12, 12, 3, 0,base
13, 11, 3, 0,base
20, 4, 3, 0,base
14, 10, 3, 0,base
12, 12, 3, 0,base
16, 8, 3, 0,base
13, 11, 3, 0,base
13, 11, 3, 0,base
15, 9, 3, 0,base
10, 14, 3, 0,base
15, 9, 3, 0,base
13, 11, 3, 0,base
19, 5, 3, 0,base
19, 5, 3, 0,base
12, 12, 3, 0,base
14, 10, 3, 0,base
12, 12, 3, 0,base
19, 5, 3, 0,base
17, 7, 3, 0,base
16, 8, 3, 0,base
17, 7, 3, 0,base
10, 14, 3, 0,base
16, 8, 3, 0,base
16, 8, 3, 0,base
13, 11, 3, 0,base
18, 6, 3, 0,base
17, 7, 3, 0,base
16, 8, 3, 0,base
17, 7, 3, 0,base
16, 8, 3, 0,base
20, 4, 3, 0,base
13, 11, 3, 0,base
12, 12, 3, 0,base
18, 6, 3, 0,base
13, 11, 3, 0,base
15, 9, 3, 0,base
16, 8, 3, 0,base
16, 8, 3, 0,base
11, 13, 3, 0,base
10, 14, 3, 0,base
13, 11, 3, 0,base
17, 7, 3, 0,base
16, 8, 3, 0,base
9, 15, 3, 0,base
16, 8, 3, 0,base
17, 7, 3, 0,base
13, 11, 3, 0,base
15, 9, 3, 0,base
10, 14, 3, 0,base
10, 14, 3, 0,base
14, 10, 3, 0,base
15, 9, 3, 0,base
11, 13, 3, 0,base
14, 10, 3, 0,base
13, 11, 3, 0,base
14, 10, 3, 0,base
16, 8, 3, 0,base
